PdDistrict,PROSTITUTION,VEHICLE THEFT
BAYVIEW,11,2121
CENTRAL,70,1193
INGLESIDE,5,2319
MISSION,713,2063
NORTHERN,581,1879
PARK,2,1207
RICHMOND,15,1081
SOUTHERN,18,1426
TARAVAL,10,1665
TENDERLOIN,527,371
