,color5,lat,lon,color10,color30
0,0,40.4994787,-74.2511652,0,0
1,0,40.4994787,-74.2489630763,0,0
2,0,40.4994787,-74.2467609526,0,0
3,0,40.4994787,-74.2445588289,0,0
4,0,40.4994787,-74.2423567052,0,0
5,0,40.4994787,-74.2401545815,0,0
6,0,40.4994787,-74.2379524578,0,0
7,0,40.4994787,-74.2357503341,0,0
8,0,40.4994787,-74.2335482104,0,0
9,0,40.4994787,-74.2313460867,0,0
10,0,40.4994787,-74.2291439631,0,0
11,0,40.4994787,-74.2269418394,0,0
12,0,40.4994787,-74.2247397157,0,0
13,0,40.4994787,-74.222537592,0,0
14,0,40.4994787,-74.2203354683,0,0
15,0,40.4994787,-74.2181333446,0,0
16,0,40.4994787,-74.2159312209,0,0
17,0,40.4994787,-74.2137290972,0,0
18,0,40.4994787,-74.2115269735,0,0
19,0,40.4994787,-74.2093248498,0,0
20,0,40.4994787,-74.2071227261,0,0
21,1,40.4994787,-74.2049206024,0,0
22,1,40.4994787,-74.2027184787,0,0
23,1,40.4994787,-74.200516355,0,0
24,1,40.4994787,-74.1983142313,0,0
25,1,40.4994787,-74.1961121076,0,0
26,1,40.4994787,-74.1939099839,0,0
27,1,40.4994787,-74.1917078602,0,0
28,0,40.4994787,-74.1895057365,0,0
29,0,40.4994787,-74.1873036129,0,0
30,0,40.4994787,-74.1851014892,0,0
31,0,40.4994787,-74.1828993655,0,0
32,0,40.4994787,-74.1806972418,0,0
33,0,40.4994787,-74.1784951181,0,0
34,0,40.4994787,-74.1762929944,0,0
35,0,40.4994787,-74.1740908707,0,0
36,0,40.4994787,-74.171888747,0,0
37,0,40.4994787,-74.1696866233,0,0
38,0,40.4994787,-74.1674844996,0,0
39,0,40.4994787,-74.1652823759,0,0
40,0,40.4994787,-74.1630802522,0,0
41,0,40.4994787,-74.1608781285,0,0
42,0,40.4994787,-74.1586760048,0,0
43,0,40.4994787,-74.1564738811,0,0
44,0,40.4994787,-74.1542717574,0,0
45,0,40.4994787,-74.1520696337,0,0
46,0,40.4994787,-74.14986751,0,0
47,0,40.4994787,-74.1476653863,0,0
48,0,40.4994787,-74.1454632627,0,0
49,0,40.4994787,-74.143261139,0,0
50,0,40.4994787,-74.1410590153,0,0
51,0,40.4994787,-74.1388568916,0,0
52,0,40.4994787,-74.1366547679,0,0
53,0,40.4994787,-74.1344526442,0,0
54,0,40.4994787,-74.1322505205,0,0
55,0,40.4994787,-74.1300483968,0,0
56,0,40.4994787,-74.1278462731,0,0
57,0,40.4994787,-74.1256441494,0,0
58,0,40.4994787,-74.1234420257,0,0
59,0,40.4994787,-74.121239902,0,0
60,0,40.4994787,-74.1190377783,0,0
61,0,40.4994787,-74.1168356546,0,0
62,0,40.4994787,-74.1146335309,0,0
63,0,40.4994787,-74.1124314072,0,0
64,0,40.4994787,-74.1102292835,0,0
65,1,40.4994787,-74.1080271598,0,0
66,1,40.4994787,-74.1058250361,0,0
67,0,40.4994787,-74.1036229124,0,0
68,1,40.4994787,-74.1014207888,0,0
69,0,40.4994787,-74.0992186651,0,0
70,0,40.4994787,-74.0970165414,0,0
71,0,40.4994787,-74.0948144177,0,0
72,0,40.4994787,-74.092612294,0,0
73,1,40.4994787,-74.0904101703,0,0
74,1,40.4994787,-74.0882080466,0,0
75,1,40.4994787,-74.0860059229,0,1
76,1,40.4994787,-74.0838037992,0,1
77,1,40.4994787,-74.0816016755,0,1
78,0,40.4994787,-74.0793995518,0,1
79,0,40.4994787,-74.0771974281,0,1
80,0,40.4994787,-74.0749953044,0,0
81,0,40.4994787,-74.0727931807,0,0
82,0,40.4994787,-74.070591057,0,1
83,0,40.4994787,-74.0683889333,0,1
84,0,40.4994787,-74.0661868096,0,1
85,0,40.4994787,-74.0639846859,0,1
86,0,40.4994787,-74.0617825622,0,1
87,0,40.4994787,-74.0595804386,0,1
88,0,40.4994787,-74.0573783149,0,1
89,0,40.4994787,-74.0551761912,0,1
90,0,40.4994787,-74.0529740675,0,1
91,0,40.4994787,-74.0507719438,0,0
92,0,40.4994787,-74.0485698201,0,0
93,0,40.4994787,-74.0463676964,0,0
94,0,40.4994787,-74.0441655727,0,0
95,0,40.4994787,-74.041963449,0,0
96,0,40.4994787,-74.0397613253,0,0
97,0,40.4994787,-74.0375592016,0,0
98,0,40.4994787,-74.0353570779,0,0
99,0,40.4994787,-74.0331549542,0,0
100,0,40.4994787,-74.0309528305,0,0
101,0,40.4994787,-74.0287507068,0,0
102,0,40.4994787,-74.0265485831,0,0
103,0,40.4994787,-74.0243464594,0,0
104,0,40.4994787,-74.0221443357,0,0
105,0,40.4994787,-74.019942212,0,0
106,0,40.4994787,-74.0177400884,0,0
107,0,40.4994787,-74.0155379647,0,0
108,0,40.4994787,-74.013335841,0,0
109,0,40.4994787,-74.0111337173,0,0
110,0,40.4994787,-74.0089315936,0,0
111,0,40.4994787,-74.0067294699,0,0
112,0,40.4994787,-74.0045273462,0,0
113,0,40.4994787,-74.0023252225,0,0
114,0,40.4994787,-74.0001230988,0,0
115,0,40.4994787,-73.9979209751,0,0
116,0,40.4994787,-73.9957188514,0,0
117,0,40.4994787,-73.9935167277,0,0
118,0,40.4994787,-73.991314604,0,0
119,0,40.4994787,-73.9891124803,0,0
120,0,40.4994787,-73.9869103566,0,0
121,0,40.4994787,-73.9847082329,0,0
122,0,40.4994787,-73.9825061092,0,0
123,0,40.4994787,-73.9803039855,0,0
124,0,40.4994787,-73.9781018618,0,0
125,0,40.4994787,-73.9758997382,0,0
126,0,40.4994787,-73.9736976145,0,0
127,0,40.4994787,-73.9714954908,0,0
128,0,40.4994787,-73.9692933671,0,0
129,0,40.4994787,-73.9670912434,0,0
130,0,40.4994787,-73.9648891197,0,0
131,0,40.4994787,-73.962686996,0,0
132,0,40.4994787,-73.9604848723,0,0
133,0,40.4994787,-73.9582827486,0,0
134,0,40.4994787,-73.9560806249,0,0
135,0,40.4994787,-73.9538785012,0,0
136,0,40.4994787,-73.9516763775,0,0
137,0,40.4994787,-73.9494742538,0,0
138,0,40.4994787,-73.9472721301,0,0
139,0,40.4994787,-73.9450700064,0,0
140,0,40.4994787,-73.9428678827,0,0
141,0,40.4994787,-73.940665759,0,0
142,0,40.4994787,-73.9384636353,0,0
143,0,40.4994787,-73.9362615116,0,0
144,0,40.4994787,-73.934059388,0,0
145,0,40.4994787,-73.9318572643,0,0
146,0,40.4994787,-73.9296551406,0,0
147,0,40.4994787,-73.9274530169,0,0
148,0,40.4994787,-73.9252508932,0,0
149,0,40.4994787,-73.9230487695,0,0
150,0,40.4994787,-73.9208466458,0,0
151,0,40.4994787,-73.9186445221,0,0
152,0,40.4994787,-73.9164423984,0,0
153,0,40.4994787,-73.9142402747,0,0
154,0,40.4994787,-73.912038151,0,0
155,0,40.4994787,-73.9098360273,0,0
156,0,40.4994787,-73.9076339036,0,0
157,0,40.4994787,-73.9054317799,0,0
158,0,40.4994787,-73.9032296562,0,0
159,0,40.4994787,-73.9010275325,0,0
160,0,40.4994787,-73.8988254088,0,0
161,0,40.4994787,-73.8966232851,0,0
162,0,40.4994787,-73.8944211614,0,0
163,0,40.4994787,-73.8922190378,0,0
164,0,40.4994787,-73.8900169141,0,0
165,0,40.4994787,-73.8878147904,0,0
166,0,40.4994787,-73.8856126667,0,0
167,0,40.4994787,-73.883410543,0,0
168,0,40.4994787,-73.8812084193,0,0
169,0,40.4994787,-73.8790062956,0,0
170,0,40.4994787,-73.8768041719,0,0
171,0,40.4994787,-73.8746020482,0,0
172,0,40.4994787,-73.8723999245,0,0
173,0,40.4994787,-73.8701978008,0,0
174,0,40.4994787,-73.8679956771,0,0
175,0,40.4994787,-73.8657935534,0,0
176,0,40.4994787,-73.8635914297,0,0
177,0,40.4994787,-73.861389306,0,0
178,0,40.4994787,-73.8591871823,0,0
179,0,40.4994787,-73.8569850586,0,0
180,0,40.4994787,-73.8547829349,0,0
181,0,40.4994787,-73.8525808112,0,0
182,0,40.4994787,-73.8503786876,0,0
183,0,40.4994787,-73.8481765639,0,0
184,0,40.4994787,-73.8459744402,0,0
185,0,40.4994787,-73.8437723165,0,0
186,0,40.4994787,-73.8415701928,0,0
187,0,40.4994787,-73.8393680691,0,0
188,0,40.4994787,-73.8371659454,0,0
189,0,40.4994787,-73.8349638217,0,0
190,0,40.4994787,-73.832761698,0,0
191,0,40.4994787,-73.8305595743,0,0
192,0,40.4994787,-73.8283574506,0,0
193,0,40.4994787,-73.8261553269,0,0
194,0,40.4994787,-73.8239532032,0,0
195,0,40.4994787,-73.8217510795,0,0
196,0,40.4994787,-73.8195489558,0,0
197,0,40.4994787,-73.8173468321,0,0
198,0,40.4994787,-73.8151447084,0,0
199,0,40.4994787,-73.8129425847,0,0
200,0,40.4994787,-73.810740461,0,0
201,0,40.4994787,-73.8085383373,0,0
202,0,40.4994787,-73.8063362137,0,0
203,0,40.4994787,-73.80413409,0,0
204,0,40.4994787,-73.8019319663,0,0
205,0,40.4994787,-73.7997298426,0,0
206,0,40.4994787,-73.7975277189,0,0
207,0,40.4994787,-73.7953255952,0,0
208,0,40.4994787,-73.7931234715,0,0
209,0,40.4994787,-73.7909213478,0,0
210,0,40.4994787,-73.7887192241,0,0
211,0,40.4994787,-73.7865171004,0,0
212,0,40.4994787,-73.7843149767,0,0
213,0,40.4994787,-73.782112853,0,0
214,0,40.4994787,-73.7799107293,0,0
215,0,40.4994787,-73.7777086056,0,0
216,0,40.4994787,-73.7755064819,0,0
217,0,40.4994787,-73.7733043582,0,0
218,0,40.4994787,-73.7711022345,0,0
219,0,40.4994787,-73.7689001108,0,0
220,0,40.4994787,-73.7666979871,0,0
221,0,40.4994787,-73.7644958635,0,0
222,0,40.4994787,-73.7622937398,0,0
223,0,40.4994787,-73.7600916161,0,0
224,0,40.4994787,-73.7578894924,0,0
225,0,40.4994787,-73.7556873687,0,0
226,0,40.4994787,-73.753485245,0,0
227,0,40.4994787,-73.7512831213,0,0
228,0,40.4994787,-73.7490809976,0,0
229,0,40.4994787,-73.7468788739,0,0
230,0,40.4994787,-73.7446767502,0,0
231,1,40.4994787,-73.7424746265,0,0
232,0,40.4994787,-73.7402725028,0,0
233,0,40.4994787,-73.7380703791,0,0
234,0,40.4994787,-73.7358682554,0,0
235,0,40.4994787,-73.7336661317,0,0
236,0,40.4994787,-73.731464008,0,0
237,0,40.4994787,-73.7292618843,0,0
238,0,40.4994787,-73.7270597606,0,0
239,0,40.4994787,-73.7248576369,0,0
240,0,40.4994787,-73.7226555133,0,0
241,0,40.4994787,-73.7204533896,0,0
242,0,40.4994787,-73.7182512659,0,0
243,0,40.4994787,-73.7160491422,0,0
244,0,40.4994787,-73.7138470185,0,0
245,0,40.4994787,-73.7116448948,0,0
246,0,40.4994787,-73.7094427711,0,0
247,0,40.4994787,-73.7072406474,0,0
248,0,40.4994787,-73.7050385237,0,0
249,0,40.4994787,-73.7028364,0,0
250,0,40.5011357317,-74.2511652,0,0
251,0,40.5011357317,-74.2489630763,0,0
252,0,40.5011357317,-74.2467609526,0,0
253,0,40.5011357317,-74.2445588289,0,0
254,0,40.5011357317,-74.2423567052,0,0
255,0,40.5011357317,-74.2401545815,0,0
256,0,40.5011357317,-74.2379524578,0,0
257,0,40.5011357317,-74.2357503341,0,0
258,0,40.5011357317,-74.2335482104,0,0
259,0,40.5011357317,-74.2313460867,0,0
260,0,40.5011357317,-74.2291439631,0,0
261,0,40.5011357317,-74.2269418394,0,0
262,0,40.5011357317,-74.2247397157,0,0
263,0,40.5011357317,-74.222537592,0,0
264,0,40.5011357317,-74.2203354683,0,0
265,0,40.5011357317,-74.2181333446,0,0
266,0,40.5011357317,-74.2159312209,0,0
267,0,40.5011357317,-74.2137290972,0,0
268,0,40.5011357317,-74.2115269735,0,0
269,0,40.5011357317,-74.2093248498,0,0
270,1,40.5011357317,-74.2071227261,0,0
271,1,40.5011357317,-74.2049206024,0,0
272,1,40.5011357317,-74.2027184787,0,0
273,1,40.5011357317,-74.200516355,0,0
274,1,40.5011357317,-74.1983142313,0,0
275,1,40.5011357317,-74.1961121076,0,0
276,1,40.5011357317,-74.1939099839,0,0
277,1,40.5011357317,-74.1917078602,0,0
278,0,40.5011357317,-74.1895057365,0,0
279,0,40.5011357317,-74.1873036129,0,0
280,0,40.5011357317,-74.1851014892,0,0
281,0,40.5011357317,-74.1828993655,0,0
282,0,40.5011357317,-74.1806972418,0,0
283,0,40.5011357317,-74.1784951181,0,0
284,0,40.5011357317,-74.1762929944,0,0
285,0,40.5011357317,-74.1740908707,0,0
286,0,40.5011357317,-74.171888747,0,0
287,0,40.5011357317,-74.1696866233,0,0
288,0,40.5011357317,-74.1674844996,0,0
289,0,40.5011357317,-74.1652823759,0,0
290,0,40.5011357317,-74.1630802522,0,0
291,0,40.5011357317,-74.1608781285,0,0
292,0,40.5011357317,-74.1586760048,0,0
293,0,40.5011357317,-74.1564738811,0,0
294,0,40.5011357317,-74.1542717574,0,0
295,0,40.5011357317,-74.1520696337,0,0
296,0,40.5011357317,-74.14986751,0,0
297,0,40.5011357317,-74.1476653863,0,0
298,0,40.5011357317,-74.1454632627,0,0
299,0,40.5011357317,-74.143261139,0,0
300,0,40.5011357317,-74.1410590153,0,0
301,0,40.5011357317,-74.1388568916,0,0
302,0,40.5011357317,-74.1366547679,0,0
303,0,40.5011357317,-74.1344526442,0,0
304,0,40.5011357317,-74.1322505205,0,0
305,0,40.5011357317,-74.1300483968,0,0
306,0,40.5011357317,-74.1278462731,0,0
307,0,40.5011357317,-74.1256441494,0,0
308,0,40.5011357317,-74.1234420257,0,0
309,0,40.5011357317,-74.121239902,0,0
310,0,40.5011357317,-74.1190377783,0,0
311,0,40.5011357317,-74.1168356546,0,0
312,0,40.5011357317,-74.1146335309,0,0
313,0,40.5011357317,-74.1124314072,0,0
314,1,40.5011357317,-74.1102292835,0,0
315,1,40.5011357317,-74.1080271598,0,0
316,1,40.5011357317,-74.1058250361,0,0
317,1,40.5011357317,-74.1036229124,0,0
318,1,40.5011357317,-74.1014207888,0,0
319,0,40.5011357317,-74.0992186651,0,0
320,0,40.5011357317,-74.0970165414,0,0
321,0,40.5011357317,-74.0948144177,0,0
322,1,40.5011357317,-74.092612294,0,0
323,1,40.5011357317,-74.0904101703,0,0
324,1,40.5011357317,-74.0882080466,0,1
325,1,40.5011357317,-74.0860059229,0,1
326,1,40.5011357317,-74.0838037992,0,1
327,1,40.5011357317,-74.0816016755,0,1
328,0,40.5011357317,-74.0793995518,0,1
329,0,40.5011357317,-74.0771974281,0,0
330,0,40.5011357317,-74.0749953044,0,0
331,0,40.5011357317,-74.0727931807,0,1
332,0,40.5011357317,-74.070591057,0,1
333,0,40.5011357317,-74.0683889333,0,1
334,0,40.5011357317,-74.0661868096,0,1
335,0,40.5011357317,-74.0639846859,0,1
336,0,40.5011357317,-74.0617825622,0,1
337,0,40.5011357317,-74.0595804386,0,1
338,0,40.5011357317,-74.0573783149,0,1
339,0,40.5011357317,-74.0551761912,0,1
340,0,40.5011357317,-74.0529740675,0,1
341,0,40.5011357317,-74.0507719438,0,0
342,0,40.5011357317,-74.0485698201,0,0
343,0,40.5011357317,-74.0463676964,0,0
344,0,40.5011357317,-74.0441655727,0,0
345,0,40.5011357317,-74.041963449,0,0
346,0,40.5011357317,-74.0397613253,0,0
347,0,40.5011357317,-74.0375592016,0,0
348,0,40.5011357317,-74.0353570779,0,0
349,0,40.5011357317,-74.0331549542,0,0
350,0,40.5011357317,-74.0309528305,0,0
351,0,40.5011357317,-74.0287507068,0,0
352,0,40.5011357317,-74.0265485831,0,0
353,0,40.5011357317,-74.0243464594,0,0
354,0,40.5011357317,-74.0221443357,0,0
355,0,40.5011357317,-74.019942212,0,0
356,0,40.5011357317,-74.0177400884,0,0
357,0,40.5011357317,-74.0155379647,0,0
358,0,40.5011357317,-74.013335841,0,0
359,0,40.5011357317,-74.0111337173,0,0
360,0,40.5011357317,-74.0089315936,0,0
361,0,40.5011357317,-74.0067294699,0,0
362,0,40.5011357317,-74.0045273462,0,0
363,0,40.5011357317,-74.0023252225,0,0
364,0,40.5011357317,-74.0001230988,0,0
365,0,40.5011357317,-73.9979209751,0,0
366,0,40.5011357317,-73.9957188514,0,0
367,0,40.5011357317,-73.9935167277,0,0
368,0,40.5011357317,-73.991314604,0,0
369,0,40.5011357317,-73.9891124803,0,0
370,0,40.5011357317,-73.9869103566,0,0
371,0,40.5011357317,-73.9847082329,0,0
372,0,40.5011357317,-73.9825061092,0,0
373,0,40.5011357317,-73.9803039855,0,0
374,0,40.5011357317,-73.9781018618,0,0
375,0,40.5011357317,-73.9758997382,0,0
376,0,40.5011357317,-73.9736976145,0,0
377,0,40.5011357317,-73.9714954908,0,0
378,0,40.5011357317,-73.9692933671,0,0
379,0,40.5011357317,-73.9670912434,0,0
380,0,40.5011357317,-73.9648891197,0,0
381,0,40.5011357317,-73.962686996,0,0
382,0,40.5011357317,-73.9604848723,0,0
383,0,40.5011357317,-73.9582827486,0,0
384,0,40.5011357317,-73.9560806249,0,0
385,0,40.5011357317,-73.9538785012,0,0
386,0,40.5011357317,-73.9516763775,0,0
387,0,40.5011357317,-73.9494742538,0,0
388,0,40.5011357317,-73.9472721301,0,0
389,0,40.5011357317,-73.9450700064,0,0
390,0,40.5011357317,-73.9428678827,0,0
391,0,40.5011357317,-73.940665759,0,0
392,0,40.5011357317,-73.9384636353,0,0
393,0,40.5011357317,-73.9362615116,0,0
394,0,40.5011357317,-73.934059388,0,0
395,0,40.5011357317,-73.9318572643,0,0
396,0,40.5011357317,-73.9296551406,0,0
397,0,40.5011357317,-73.9274530169,0,0
398,0,40.5011357317,-73.9252508932,0,0
399,0,40.5011357317,-73.9230487695,0,0
400,0,40.5011357317,-73.9208466458,0,0
401,0,40.5011357317,-73.9186445221,0,0
