,lat,lon,k_means_2,centerX_2,centerY_2,k_means_3,centerX_3,centerY_3,k_means_4,centerX_4,centerY_4,k_means_5,centerX_5,centerY_5,k_means_6,centerX_6,centerY_6,k_means_7,centerX_7,centerY_7
117336,40.7077575,-74.015643,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
117341,40.7784761,-73.9854489,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
117374,40.7521198,-73.9776766,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,5,40.7502998699,-73.9823692096,3,40.7502013115,-73.982493518
117512,40.7040857,-74.0089878,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
117522,40.7365615,-73.9890159,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,6,40.7357701531,-73.9959501857
117570,40.7595273,-73.999242,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
117670,40.729335,-74.0052244,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
117712,40.7264365,-74.0056572,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
117769,40.7802299,-73.9613681,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,4,40.7793703444,-73.9625137017,3,40.7799609055,-73.9632900296,0,40.7799609055,-73.9632900296
117868,40.749824,-73.9722023,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
117939,40.728034,-74.0021503,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
118038,40.767242,-73.9862022,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
118263,40.7440605,-74.0068099,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,6,40.7357701531,-73.9959501857
118289,40.7597856,-73.976288,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
118329,40.7528008,-73.9792862,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,5,40.7502998699,-73.9823692096,3,40.7502013115,-73.982493518
118340,40.7224015,-73.9916483,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
118346,40.6960511,-73.9850846,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,3,40.6962197556,-73.9801457374,3,40.6962197556,-73.9801457374,4,40.6962197556,-73.9801457374,5,40.6962197556,-73.9801457374
118365,40.7187947,-73.9890116,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
118378,40.7627496,-73.9969136,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
118384,40.7203211,-73.9940403,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
118577,40.7199725,-73.9928968,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
118640,40.7363771,-73.9849348,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,6,40.7357701531,-73.9959501857
118664,40.7535158,-73.9887858,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,5,40.7502998699,-73.9823692096,3,40.7502013115,-73.982493518
118784,40.7509597,-73.9827227,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,5,40.7502998699,-73.9823692096,3,40.7502013115,-73.982493518
118810,40.7730328,-73.9821971,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
118878,40.7577322,-73.9968524,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
119027,40.7017826,-74.0111659,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
119173,40.7509597,-73.9827227,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,5,40.7502998699,-73.9823692096,3,40.7502013115,-73.982493518
119225,40.7852936,-73.9693348,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,4,40.7793703444,-73.9625137017,3,40.7799609055,-73.9632900296,0,40.7799609055,-73.9632900296
119271,40.778794,-73.9820547,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,4,40.7793703444,-73.9625137017,3,40.7799609055,-73.9632900296,0,40.7799609055,-73.9632900296
119300,40.7509908,-73.9906233,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
119304,40.7509597,-73.9827227,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,5,40.7502998699,-73.9823692096,3,40.7502013115,-73.982493518
119309,40.7002336,-73.9598709,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,3,40.6962197556,-73.9801457374,3,40.6962197556,-73.9801457374,4,40.6962197556,-73.9801457374,5,40.6962197556,-73.9801457374
119440,40.7634306,-73.9652115,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
119480,40.7316707,-74.0066246,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,6,40.7357701531,-73.9959501857
119567,40.7528008,-73.9792862,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,5,40.7502998699,-73.9823692096,3,40.7502013115,-73.982493518
119615,40.7451158,-73.9806599,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,5,40.7502998699,-73.9823692096,3,40.7502013115,-73.982493518
119620,40.7554056,-73.9794839,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,5,40.7502998699,-73.9823692096,3,40.7502013115,-73.982493518
119647,40.7591654,-73.976743,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
119661,40.7608574,-73.9610689,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
119681,40.7656758,-73.9762353,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
119687,40.7666162,-73.9866608,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
119728,40.7258408,-74.0075584,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
119786,40.7954563,-73.9656282,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,4,40.7793703444,-73.9625137017,3,40.7799609055,-73.9632900296,0,40.7799609055,-73.9632900296
119855,40.7571447,-73.9935606,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
119942,40.7546776,-73.9758061,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
119947,40.6976294,-73.9852826,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,3,40.6962197556,-73.9801457374,3,40.6962197556,-73.9801457374,4,40.6962197556,-73.9801457374,5,40.6962197556,-73.9801457374
119968,40.7611802,-73.9579029,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
120002,40.7679171,-73.9857147,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
120072,40.7606005,-73.9643142,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
120108,40.7322527,-73.9963521,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,6,40.7357701531,-73.9959501857
120193,40.7611802,-73.9579029,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
120200,40.7615008,-73.9978197,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
120231,40.6932287,-73.9678445,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,3,40.6962197556,-73.9801457374,3,40.6962197556,-73.9801457374,4,40.6962197556,-73.9801457374,5,40.6962197556,-73.9801457374
120232,40.7024083,-74.012825,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
120283,40.7451158,-73.9806599,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,5,40.7502998699,-73.9823692096,3,40.7502013115,-73.982493518
120324,40.7591128,-73.9746783,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
120350,40.790842,-73.9745651,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,4,40.7793703444,-73.9625137017,3,40.7799609055,-73.9632900296,0,40.7799609055,-73.9632900296
120374,40.7151584,-74.0021139,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
120416,40.7067007,-74.0160467,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
120521,40.7622904,-73.9861058,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
120539,40.7476292,-73.9767362,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,5,40.7502998699,-73.9823692096,3,40.7502013115,-73.982493518
120551,40.7517478,-73.9708047,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
120780,40.7168135,-73.9977634,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
120798,40.7794969,-73.9534934,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,4,40.7793703444,-73.9625137017,3,40.7799609055,-73.9632900296,0,40.7799609055,-73.9632900296
120845,40.7184575,-73.9948089,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
121085,40.7879013,-73.9536717,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,4,40.7793703444,-73.9625137017,3,40.7799609055,-73.9632900296,0,40.7799609055,-73.9632900296
121345,40.7666672,-73.9670654,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
121370,40.7612344,-73.9638843,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
121473,40.7572323,-73.9897922,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
121474,40.7690047,-73.99235,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
121488,40.7496667,-73.9815717,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,5,40.7502998699,-73.9823692096,3,40.7502013115,-73.982493518
121536,40.7192038,-73.9903644,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
121550,40.7642781,-73.9730158,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
121566,40.7710646,-73.9596441,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,4,40.7793703444,-73.9625137017,3,40.7799609055,-73.9632900296,0,40.7799609055,-73.9632900296
121596,40.6998478,-73.9910308,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,3,40.6962197556,-73.9801457374,3,40.6962197556,-73.9801457374,4,40.6962197556,-73.9801457374,5,40.6962197556,-73.9801457374
121612,40.7491025,-73.9920058,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
121823,40.732384,-74.0103519,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,6,40.7357701531,-73.9959501857
121872,40.7618573,-73.9634255,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
122295,40.7685969,-73.9677576,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
122414,40.7642812,-73.9985813,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
122448,40.725432,-73.996771,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
122453,40.6888813,-73.9600039,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,3,40.6962197556,-73.9801457374,3,40.6962197556,-73.9801457374,4,40.6962197556,-73.9801457374,5,40.6962197556,-73.9801457374
122600,40.7597301,-73.9916833,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
122688,40.7707535,-73.9569401,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,4,40.7793703444,-73.9625137017,3,40.7799609055,-73.9632900296,0,40.7799609055,-73.9632900296
122706,40.7564521,-73.9703154,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
122719,40.7603532,-73.991232,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
122975,40.7053098,-74.0090277,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
123018,40.7653576,-73.9659,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
123067,40.7274022,-73.9885376,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,6,40.7357701531,-73.9959501857
123093,40.7697535,-73.9545761,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,4,40.7793703444,-73.9625137017,3,40.7799609055,-73.9632900296,0,40.7799609055,-73.9632900296
123104,40.7154326,-74.0075428,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
123281,40.7584292,-73.9926328,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
123601,40.7484317,-73.9824707,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,5,40.7502998699,-73.9823692096,3,40.7502013115,-73.982493518
123689,40.7523789,-73.9703425,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
123754,40.762025,-74.0011515,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
123835,40.7497247,-73.9836217,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,5,40.7502998699,-73.9823692096,3,40.7502013115,-73.982493518
123878,40.7572323,-73.9897922,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
123970,40.7476292,-73.9767362,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,5,40.7502998699,-73.9823692096,3,40.7502013115,-73.982493518
124003,40.7256734,-74.0057798,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
124128,40.736562,-74.0010934,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,6,40.7357701531,-73.9959501857
124158,40.7466818,-73.9744953,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,5,40.7502998699,-73.9823692096,3,40.7502013115,-73.982493518
124182,40.7876856,-73.9750141,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,4,40.7793703444,-73.9625137017,3,40.7799609055,-73.9632900296,0,40.7799609055,-73.9632900296
124222,40.7383125,-73.9877418,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,6,40.7357701531,-73.9959501857
124249,40.7571447,-73.9935606,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
124251,40.7389026,-73.9873015,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,5,40.7502998699,-73.9823692096,3,40.7502013115,-73.982493518
124253,40.688616,-73.9891681,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,3,40.6962197556,-73.9801457374,3,40.6962197556,-73.9801457374,4,40.6962197556,-73.9801457374,5,40.6962197556,-73.9801457374
124370,40.7205573,-74.0035102,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
124371,40.7489222,-73.977887,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,5,40.7502998699,-73.9823692096,3,40.7502013115,-73.982493518
124487,40.71728,-73.9954294,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
124547,40.7580218,-73.9817932,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,5,40.7502998699,-73.9823692096,3,40.7502013115,-73.982493518
124650,40.7401843,-73.986363,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,5,40.7502998699,-73.9823692096,3,40.7502013115,-73.982493518
124667,40.7973058,-73.9642873,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,4,40.7793703444,-73.9625137017,3,40.7799609055,-73.9632900296,0,40.7799609055,-73.9632900296
124725,40.7563515,-74.0054034,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
124737,40.7633655,-73.9592408,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
124779,40.7520589,-74.0009817,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
124798,40.7188499,-73.9926191,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
124849,40.7605353,-73.9583509,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
124901,40.7514385,-73.9976793,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
